Method:,Hadamard 1,,
Host Date-Time:,28/4/26 @ 21:3:31,,
Header Version:,1,,
System Temp (C):,30.25,,
Detector Temp (C):,28.92,,
Humidity (%):,36.71,,
Lamp PD:,3796,,
Shift Vector Coefficients:,-4.23807,0.038015,-8.48182e-05,,
Pixel to Wavelength Coefficients:,1814.7,-0.917204,-0.000244398,,
Serial Number:,6460024,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  2.451,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
1646.202108,0.156443,77863.000000,54311.000000
1649.208872,0.153053,75323.000000,52951.000000
1652.211237,0.148284,72646.000000,51633.000000
1655.209203,0.142325,69695.000000,50220.000000
1658.202769,0.135936,66120.000000,48350.000000
1661.191937,0.124219,61928.000000,46523.000000
1664.176705,0.111648,57108.000000,44162.000000
1668.149553,0.088652,49420.000000,40295.000000
1671.124056,0.071293,43252.000000,36704.000000
1674.094160,0.053298,37007.000000,32733.000000
1677.059866,0.037869,31448.000000,28822.000000
1680.021172,0.028102,26509.000000,24848.000000
1682.978078,0.026085,22318.000000,21017.000000
1685.930586,0.032582,18913.000000,17546.000000
1688.878695,0.034695,16215.000000,14970.000000
1691.822404,0.036254,13947.000000,12830.000000
1694.761714,0.047994,12072.000000,10809.000000
1697.696625,0.053965,10552.000000,9319.000000
1700.627137,0.054718,9233.000000,8140.000000
